ac3_max_domain,ac3_min_domain,algorithm,checks_avg,colors,steps_avg,time_avg_s,valid_ratio
,,Backtracking,122,2,54,0.00010113334671283762,0.0
,,ForwardChecking,62,2,8,0.0001249000197276473,0.0
,,ForwardChecking_MAC,62,2,54,0.0022825999767519534,0.0
2,2,AC3,0,2,0,0.0003789999755099416,1.0
,,Backtracking,15732,3,6294,0.007809733331669122,0.0
,,ForwardChecking,10107,3,1161,0.014823233340090761,0.0
,,ForwardChecking_MAC,11775,3,6294,0.13799669997145733,0.0
3,3,AC3,0,3,0,0.0003971999976783991,1.0
,,Backtracking,386,4,137,0.000231066660489887,1.0
,,ForwardChecking,829,4,69,0.0018779666473468144,1.0
,,ForwardChecking_MAC,255,4,137,0.004622333333827555,1.0
4,4,AC3,0,4,0,0.0006270000012591481,1.0
