ac3_max_domain,ac3_min_domain,algorithm,checks_avg,colors,steps_avg,time_avg_s,valid_ratio
,,Backtracking,122,2,54,9.720000283171733e-05,0.0
,,ForwardChecking,62,2,8,0.00012390001211315393,0.0
,,ForwardChecking_MAC,62,2,54,0.0018439999936769407,0.0
2,2,AC3,0,2,0,0.00048260000767186284,1.0
,,Backtracking,15732,3,6294,0.007378600013907999,0.0
,,ForwardChecking,10107,3,1161,0.016118766662354272,0.0
,,ForwardChecking_MAC,11775,3,6294,0.14532089999799305,0.0
3,3,AC3,0,3,0,0.0005990000208839774,1.0
,,Backtracking,386,4,137,0.00028369998714576167,1.0
,,ForwardChecking,829,4,69,0.0017484333172130089,1.0
,,ForwardChecking_MAC,255,4,137,0.006169833320503433,1.0
4,4,AC3,0,4,0,0.0007453000289388001,1.0
