ac3_max_domain,ac3_min_domain,algorithm,checks_avg,colors,steps_avg,time_avg_s,valid_ratio
,,Backtracking,84,2,30,5.5466665799031034e-05,0.0
,,ForwardChecking,80,2,10,0.00014210000032714257,0.0
,,ForwardChecking_MAC,28,2,30,0.0010697333333761587,0.0
2,2,AC3,0,2,0,0.0003552999987732619,1.0
,,Backtracking,5091,3,1839,0.0022581000011996366,0.0
,,ForwardChecking,2418,3,264,0.003834033335200123,0.0
,,ForwardChecking_MAC,3189,3,1839,0.04389776666600179,0.0
3,3,AC3,0,3,0,0.0003968999990320299,1.0
,,Backtracking,858,4,272,0.00036763333385655034,1.0
,,ForwardChecking,909,4,70,0.0009811333341834445,1.0
,,ForwardChecking_MAC,581,4,272,0.007319133333415569,1.0
4,4,AC3,0,4,0,0.0005287000021780841,1.0
